S,299.0,0,0.999
S,366.0,1,1.999
S,328.0,2,2.999
S,356.0,3,3.999
S,631.0,4,4.999
S,774.0,5,5.999
S,844.0,6,6.999
S,952.0,7,7.999
S,1141.0,8,8.999
S,718.0,9,9.999
S,314.0,10,10.999
S,389.0,11,11.999
S,685.0,12,12.999
S,982.0,13,13.999
S,515.0,14,14.999
S,418.0,15,15.999
S,408.0,16,16.999
S,695.0,17,17.999
S,410.0,18,18.999
S,398.0,19,19.999
S,461.0,20,20.999
S,836.0,21,21.999
S,411.0,22,22.999
S,275.0,23,23.999
S,275.0,24,24.999
S,502.0,25,25.999
S,379.0,26,26.999
S,573.0,27,27.999
S,619.0,28,28.999
S,880.0,29,29.999
S,916.0,30,30.999
S,530.0,31,31.999
S,392.0,32,32.999
S,427.0,33,33.999
S,27.0,34,34.999
S,343.0,35,35.999
S,632.0,36,36.999
S,449.0,37,37.999
S,406.0,38,38.999
S,462.0,39,39.999
S,675.0,40,40.999
S,787.0,41,41.999
S,918.0,42,42.999
S,749.0,43,43.999
S,804.0,44,44.999
S,754.0,45,45.999
S,526.0,46,46.999
S,397.0,47,47.999
S,791.0,48,48.999
S,1007.0,49,49.999
S,602.0,50,50.999
S,513.0,51,51.999
S,470.0,52,52.999
S,685.0,53,53.999
S,584.0,54,54.999
S,425.0,55,55.999
S,448.0,56,56.999
S,870.0,57,57.999
S,474.0,58,58.999
S,308.0,59,59.999
S,349.0,60,60.999
S,382.0,61,61.999
S,475.0,62,62.999
S,442.0,63,63.999
S,555.0,64,64.999
S,934.0,65,65.999
S,767.0,66,66.999
S,608.0,67,67.999
S,426.0,68,68.999
S,440.0,69,69.999
